BANK_ID,ASSETS,COST,P_LABOR_w1,P_FUNDS_w2,P_DEPOSI_w3,CON_LOAN_y1,NONC_LOA_y2,SECURITI_y3,t,POLICY
3458,14912.79856,419.906016,15.93393364,0.006003885,0.021712841,425.3593409,5702.132831,8959.131118,67,4
3458,14789.47661,548.4614523,21.77913987,0.00850966,0.026422451,463.0397675,5163.94423,9322.488789,68,4
3458,15646.24682,118.5883226,5.643052285,0.000182949,0.005301134,427.1874804,5649.790258,9733.001821,69,4
3458,15355.83769,227.0560015,11.16806516,0.00058072,0.010304545,528.0059679,5511.146261,9480.595707,70,4
3458,15274.85723,332.0040254,16.70040369,0.001251043,0.014634146,477.6315457,5370.181812,9600.06006,71,4
3458,14980.15464,435.3923184,22.93287784,0.001870033,0.018684529,463.3106045,5424.12415,9267.541532,72,4
3458,15419.11349,95.56212413,5.684298763,0.000197122,0.003616026,442.8810167,6008.550936,9144.965755,73,4
3458,14483.07982,184.9766039,11.35677913,0.000664599,0.007265045,460.1538133,6285.936395,7903.664645,74,4
3458,15802.52286,291.604996,17.12935806,0.001957242,0.011691348,358.4987924,5767.154486,9845.078249,75,4
3458,15083.72995,402.3531606,23.6156803,0.004105244,0.015746828,352.7038123,5120.330847,9758.998535,76,4
3458,15107.59513,107.3545378,5.990766616,0.001241135,0.004496497,347.6242175,5314.688634,9597.367872,77,4
3458,15541.41688,227.8223218,11.66082218,0.00318423,0.010064815,357.9158481,5819.940148,9519.673117,78,4
3458,15541.96374,353.8979004,17.28630952,0.00532362,0.016041656,336.2972944,5302.182576,10070.06104,79,4
3458,15258.83579,496.4859913,23.31176373,0.008916218,0.022465585,271.9445882,5160.086189,9995.834796,80,4
3506,164852,2608,6.362745098,0.004844525,0.012681196,17778,89802,58160,1,3
3506,165201.2835,5298.743719,12.21949914,0.012303929,0.02551017,17428.08602,96967.01007,51490.44249,2,3
3506,180804.1572,7955.894791,18.24390746,0.017792302,0.034743951,18360.06244,107476.9962,55432.34975,3,3
3506,192914.1221,10678.20922,24.76282779,0.015016841,0.043642432,15729.24685,115962.7477,61694.67574,4,3
3506,184031.2935,2726.67973,6.361677635,0.003730821,0.011936942,15766.55542,103807.7531,64842.87291,5,3
3506,177047.9457,5459.90258,11.87251733,0.008270239,0.024300198,17399.30466,106652.9509,53269.07447,6,3
3506,185649.1345,8199.323145,17.81848432,0.009671541,0.035660367,15825.8817,115757.3661,54333.43443,7,3
